Order ID,Order Date,Year,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Brand Name,Product Sub Category,Product Category,Region,City,Country
7077,18/3/2013,2013,9,958.55,2714.72,1756.17,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Europe,Moscow,Russia
117,23/2/2012,2012,4,18.62,50.14,31.52,Store,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Moscow,Russia
7018,11/1/2012,2012,9,205.10,1395.11,1190.01,Store,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Europe,Moscow,Russia
140,13/2/2014,2014,18,6.62,462.42,455.80,Store,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bellevue,United States
491,17/1/2013,2013,9,4.81,2614.40,2609.59,Online,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
58,6/4/2014,2014,24,203.32,7056.40,6853.08,Online,SV Car Video TFT7 M7000 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,Asia,Beijing,China
7085,27/8/2014,2014,10,2904.50,6990.00,4085.50,Online,Adventure Works Laptop15 M1501 Red,Adventure Works,Adventure Works,Laptops,Computers,Asia,Beijing,China
929,15/9/2012,2012,5,629.09,890.00,260.91,Online,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,Asia,Beijing,China
1527,29/12/2012,2012,13,3525.56,3890.50,364.94,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
7264,21/7/2013,2013,30,2717.74,8970.00,6252.26,Online,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China
1471,24/2/2012,2012,18,1194.43,13590.48,12396.05,Online,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Beijing,China
845,17/6/2013,2013,24,119.32,14112.00,13992.68,Online,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,A. Datum,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China
7144,16/6/2013,2013,24,1428.24,2302.80,874.56,Online,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
1160,22/8/2012,2012,10,3131.68,2992.30,-139.38,Online,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
